city,countyOrParish,stateOrProvince,address,shortAddress
Castleton-on-Hudson,Rensselaer,NY,"14 Lynch Avenue, Castleton-on-Hudson, NY 12033",14 Lynch Avenue
Cohoes,Albany,NY,"70 Jackson Avenue, Cohoes, NY 12047",70 Jackson Avenue
Albany,Albany,NY,"266 Loudon Road, Albany, NY 12211",266 Loudon Road
Waterford,Saratoga,NY,"12 Widgeon Way, Waterford, NY 12188",12 Widgeon Way
Saratoga Springs,Saratoga,NY,"65 Long Alley, Saratoga Springs, NY 12866",65 Long Alley
Brunswick,Rensselaer,NY,"52 Spring Landing Boulevard, Brunswick, NY 12198",52 Spring Landing Boulevard
Niskayuna,Schenectady,NY,"741 John Paul Court, Niskayuna, NY 12309",741 John Paul Court
Albany,Albany,NY,"45 Park Avenue, #19, Albany, NY 12201","45 Park Avenue, #19"
East Greenbush,Rensselaer,NY,"1483 Red Mill Road, East Greenbush, NY 12144",1483 Red Mill Road
Albany,Albany,NY,"355 State Street, 2ER, Albany, NY 12210","355 State Street, 2ER"
North Greenbush,Rensselaer,NY,"35 Pine Avenue, North Greenbush, NY 12198",35 Pine Avenue
Halfmoon,Saratoga,NY,"221 Victory Way, Halfmoon, NY 12065",221 Victory Way
Saratoga Springs,Saratoga,NY,"5 Foxhall Drive, Saratoga Springs, NY 12866",5 Foxhall Drive
Clifton Park,Saratoga,NY,"4 Heron Place, Clifton Park, NY 12148",4 Heron Place
Guilderland,Albany,NY,"4 Willey Street, Guilderland, NY 12203",4 Willey Street
Brunswick,Rensselaer,NY,"129 White Church Road, Brunswick, NY 12180",129 White Church Road
Guilderland,Albany,NY,"19 Drawbridge Drive, Guilderland, NY 12203",19 Drawbridge Drive
Albany,Albany,NY,"663 Hudson Avenue, 1, Albany, NY 12203","663 Hudson Avenue, 1"
Saratoga Springs,Saratoga,NY,"376 Caroline Street, Saratoga Springs, NY 12866",376 Caroline Street
Schenectady,Schenectady,NY,"246 Chiswell Road, Schenectady, NY 12304",246 Chiswell Road
Niskayuna,Schenectady,NY,"1529 Barclay Place, Niskayuna, NY 12309",1529 Barclay Place
Broadalbin,Fulton,NY,"1487 County Highway 110, Broadalbin, NY 12025",1487 County Highway 110
Johnstown,Fulton,NY,"660 State Hwy 309, Johnstown, NY 12078",660 State Hwy 309
North Greenbush,Rensselaer,NY,"2 W Sand Lake Road, North Greenbush, NY 12198",2 W Sand Lake Road
Duanesburg,Schenectady,NY,"1427 Turnbull Road, Duanesburg, NY 12053",1427 Turnbull Road
Cohoes,Albany,NY,"43 Whitehall Street, Cohoes, NY 12047",43 Whitehall Street
Niskayuna,Schenectady,NY,"3 Alice Wagner Way, 8, Niskayuna, NY 12309","3 Alice Wagner Way, 8"
Schenectady,Schenectady,NY,"1061 Teviot Road, Schenectady, NY 12308",1061 Teviot Road
Colonie,Albany,NY,"7 Woodland Drive, Colonie, NY 12309",7 Woodland Drive
Colonie,Albany,NY,"20 Schalren Drive, Colonie, NY 12110",20 Schalren Drive
Wilton,Saratoga,NY,"7 Hearthstone Drive, Wilton, NY 12831",7 Hearthstone Drive
Scotia,Schenectady,NY,"1603 Cambridge Manor Drive, Scotia, NY 12302",1603 Cambridge Manor Drive
South Glens Falls,Saratoga,NY,"5 Terrace Avenue, South Glens Falls, NY 12803",5 Terrace Avenue
Fort Edward,Washington,NY,"42 Center Street, Fort Edward, NY 12828",42 Center Street
Argyle,Washington,NY,"39 Main St, Argyle, NY 12809",39 Main St
Albany,Albany,NY,"697 Myrtle Avenue, Albany, NY 12208",697 Myrtle Avenue
Waterford,Saratoga,NY,"37 Mohawk Avenue, Waterford, NY 12188",37 Mohawk Avenue
Scotia,Schenectady,NY,"1501 Cambridge Manor Drive, Scotia, NY 12302",1501 Cambridge Manor Drive
Saratoga,Saratoga,NY,"6 Olde Saratoga Knolls Lane, Saratoga, NY 12871",6 Olde Saratoga Knolls Lane
Clifton Park,Saratoga,NY,"3 Longview Drive, Clifton Park, NY 12065",3 Longview Drive
Colonie,Albany,NY,"24 Brickley Drive, Colonie, NY 12205",24 Brickley Drive
Poestenkill,Rensselaer,NY,"116 Plank Road, Poestenkill, NY 12140",116 Plank Road
Schenectady,Schenectady,NY,"2346 William Street, Schenectady, NY 12306",2346 William Street
Chester,Warren,NY,"L28 Olmstedville Road, Chester, NY 12853",L28 Olmstedville Road
Bethlehem,Albany,NY,"24 Chestnut Road, Bethlehem, NY 12054",24 Chestnut Road
Delanson,Schenectady,NY,"202 W Shore Road, Delanson, NY 12053",202 W Shore Road
Hoosick Falls,Rensselaer,NY,"84 Richmond Avenue, Hoosick Falls, NY 12090",84 Richmond Avenue
Hudson Falls,Washington,NY,"76 King Avenue, Hudson Falls, NY 12839",76 King Avenue
Schodack,Rensselaer,NY,"1631 Tina Lane, Schodack, NY 12033",1631 Tina Lane
Root,Montgomery,NY,"1714 Latimer Hill Road, Root, NY 13317",1714 Latimer Hill Road
Glenville,Schenectady,NY,"304 Grayson Place, Glenville, NY 12302",304 Grayson Place
Colonie,Albany,NY,"55 Wardley Circle, Colonie, NY 12047",55 Wardley Circle
Schenectady,Schenectady,NY,"148 Barrett Street, 1, Schenectady, NY 12305","148 Barrett Street, 1"
Troy,Rensselaer,NY,"257 Congress Street, Troy, NY 12180",257 Congress Street
Schaghticoke,Rensselaer,NY,"35 Brott Lane, Schaghticoke, NY 12154",35 Brott Lane
Schenectady,Schenectady,NY,"1226 2nd Avenue, Schenectady, NY 12303",1226 2nd Avenue
Johnstown,Fulton,NY,"716 S Market Street, Johnstown, NY 12095",716 S Market Street
"Saratoga Springs, Inside",Saratoga,NY,"25 Whistler Court, 501, Saratoga Springs, Inside, NY 12866","25 Whistler Court, 501"
Guilderland,Albany,NY,"2555 Western Avenue, Guilderland, NY 12009",2555 Western Avenue
Little Falls,Herkimer,NY,"171-73 Church Street, Little Falls, NY 13365",171-73 Church Street
Valatie,Columbia,NY,"174 W Shore Drive, Valatie, NY 12184",174 W Shore Drive
Moreau,Saratoga,NY,"4 Kimberly Lane, Moreau, NY 12828",4 Kimberly Lane
Rotterdam,Schenectady,NY,"2321 1st Avenue, Rotterdam, NY 12303",2321 1st Avenue
Guilderland,Albany,NY,"667 Salvia Lane, Guilderland, NY 12303",667 Salvia Lane
Waterford,Saratoga,NY,"46 Washington Avenue, 5, Waterford, NY 12188","46 Washington Avenue, 5"
Albany,Albany,NY,"15 Delaware Street, 2, Albany, NY 12202","15 Delaware Street, 2"
Middleburgh,Schoharie,NY,"L78 Armlin Road, Middleburgh, NY 12122",L78 Armlin Road
Hunter Village,Greene,NY,"101 Botti Drive, Hunter Village, NY 12442",101 Botti Drive
Sand Lake,Rensselaer,NY,"195 Birds Hill Road, Sand Lake, NY 12018",195 Birds Hill Road
Warrensburg,Warren,NY,"1563-1573 Schroon River Road, Warrensburg, NY 12885",1563-1573 Schroon River Road
Fulton,Schoharie,NY,"420 W Fulton Road, Fulton, NY 12194",420 W Fulton Road
Colonie,Albany,NY,"36 Kendale Avenue, Colonie, NY 12304",36 Kendale Avenue
Colonie,Albany,NY,"4 Woolard Avenue, Colonie, NY 12205",4 Woolard Avenue
Broadalbin,Fulton,NY,"393 Midline Road, Broadalbin, NY 12010",393 Midline Road
Albany,Albany,NY,"99 Southern Boulevard, Albany, NY 12209",99 Southern Boulevard
New Lebanon,Columbia,NY,"115 Hawthorne Hill Road, New Lebanon, NY 12024",115 Hawthorne Hill Road
Albany,Albany,NY,"15 Ten Broeck Street, Garden, Albany, NY 12210","15 Ten Broeck Street, Garden"
Providence,Saratoga,NY,"L13 Glenwild Road, Providence, NY 12850",L13 Glenwild Road
Albany,Albany,NY,"441 Myrtle Avenue, Apt 1, Albany, NY 12208","441 Myrtle Avenue, Apt 1"
Schodack,Rensselaer,NY,"L8 2.2 Us 20, Schodack, NY 12123",L8 2.2 Us 20
Coeymans,Albany,NY,"238 Tompkins Road, Coeymans, NY 12143",238 Tompkins Road
Queensbury,Warren,NY,"1 Sylvan Avenue, Queensbury, NY 12804",1 Sylvan Avenue
Halfmoon,Saratoga,NY,"115 Monmouth Way, Halfmoon, NY 12065",115 Monmouth Way
Albany,Albany,NY,"46 Elmhurst Avenue, Albany, NY 12203",46 Elmhurst Avenue
Halfmoon,Saratoga,NY,"43 Somerset Drive, Halfmoon, NY 12118",43 Somerset Drive
Colonie,Albany,NY,"36 Sunset Boulevard, Colonie, NY 12205",36 Sunset Boulevard
Greenfield,Saratoga,NY,"22 Sand Hill Road, Greenfield, NY 12833",22 Sand Hill Road
Berne,Albany,NY,"48 E Hill Road, Berne, NY 12023",48 E Hill Road
Ballston,Saratoga,NY,"50 Jenkins Road, Ballston, NY 12027",50 Jenkins Road
Salem,Washington,NY,"37 S Main Street, Salem, NY 12865",37 S Main Street
Hudson Falls,Washington,NY,"36 River Street, Hudson Falls, NY 12839",36 River Street
Halfmoon,Saratoga,NY,"11 Poplar Drive, B, Halfmoon, NY 12065","11 Poplar Drive, B"
Guilderland,Albany,NY,"6234 Ostrander Road, Guilderland, NY 12009",6234 Ostrander Road
Rensselaer,Rensselaer,NY,"422 East Street, Rensselaer, NY 12144",422 East Street
Berlin,Rensselaer,NY,"837 Black River Road, Berlin, NY 12022",837 Black River Road
Wright,Schoharie,NY,"486 Westfall Road, Wright, NY 12053",486 Westfall Road
Cohoes,Albany,NY,"5 Short Street, 2 2, Cohoes, NY 12047","5 Short Street, 2 2"
Glenville,Schenectady,NY,"187 Lake Hill Road, Glenville, NY 12027",187 Lake Hill Road
Wappingers Falls,Dutchess,NY,"89 Farmington Road, Wappingers Falls, NY 12590",89 Farmington Road
Granville,Washington,NY,"1845 County Route 31, Granville, NY 12832",1845 County Route 31
East Greenbush,Rensselaer,NY,"404 Chatham Court, East Greenbush, NY 12061",404 Chatham Court
Summit,Schoharie,NY,"239 Bear Gulch Road, Summit, NY 12175",239 Bear Gulch Road
Duanesburg,Schenectady,NY,"321 N Mansion Road, Duanesburg, NY 12056",321 N Mansion Road
Watervliet,Albany,NY,"1410 Chestnut Street, Watervliet, NY 12189",1410 Chestnut Street
Broome,Schoharie,NY,"L12 Donlan Heights Road, Broome, NY 12122",L12 Donlan Heights Road
Rensselaerville,Albany,NY,"L12 County Road 352, Rensselaerville, NY 12147",L12 County Road 352
Greenwich,Washington,NY,"2642 State Route 40, Greenwich, NY 12834",2642 State Route 40
Clifton Park,Saratoga,NY,"25 Burning Bush Boulevard, Clifton Park, NY 12019",25 Burning Bush Boulevard
Milford,Otsego,NY,"522 Konchar Road, Milford, NY 13807",522 Konchar Road
Bethlehem,Albany,NY,"95 Jordan Boulevard, Bethlehem, NY 12054",95 Jordan Boulevard
Colonie,Albany,NY,"41 Virginia Avenue, Colonie, NY 12205",41 Virginia Avenue
Johnstown,Fulton,NY,"789 County Hwy 137, Johnstown, NY 12095",789 County Hwy 137
Albany,Albany,NY,"3E Rosemary Dr Ext. Extension, Albany, NY 12211",3E Rosemary Dr Ext. Extension
Schenectady,Schenectady,NY,"1236 Union Street, Schenectady, NY 12308",1236 Union Street
Greenfield,Saratoga,NY,"41 Malloy Road, Greenfield, NY 12833",41 Malloy Road
Providence,Saratoga,NY,"617 Fayville Road, Providence, NY 12025",617 Fayville Road
Middlefield,Otsego,NY,"3692 County Hwy, 35, Middlefield, NY 13326","3692 County Hwy, 35"
Clifton Park,Saratoga,NY,"313 Vischer Ferry Road, B, Clifton Park, NY 12065","313 Vischer Ferry Road, B"
Schenectady,Schenectady,NY,"733 Mason Street, Schenectady, NY 12308",733 Mason Street
Albany,Albany,NY,"94 Philip Street, Albany, NY 12202",94 Philip Street
Rotterdam,Schenectady,NY,"2937 Wellington Avenue, Rotterdam, NY 12306",2937 Wellington Avenue
Johnsburg,Warren,NY,"L48 Iroquois Trail, Johnsburg, NY 12853",L48 Iroquois Trail
Clifton Park,Saratoga,NY,"32 Kara Lane, Clifton Park, NY 12065",32 Kara Lane
Albany,Albany,NY,"787 Washington Avenue, 4, Albany, NY 12206","787 Washington Avenue, 4"
Granville,Washington,NY,"8 S Maple Street, Granville, NY 12832",8 S Maple Street
Milton,Saratoga,NY,"18 Linden Lane, Milton, NY 12020",18 Linden Lane
Kinderhook,Columbia,NY,"3 Datus Court, Kinderhook, NY 12106",3 Datus Court
Brunswick,Rensselaer,NY,"4 Woodward Avenue, Brunswick, NY 12180",4 Woodward Avenue
Saratoga Springs,Saratoga,NY,"16 West Avenue, Saratoga Springs, NY 12866",16 West Avenue
Halfmoon,Saratoga,NY,"16 Newcastle Road, Halfmoon, NY 12065",16 Newcastle Road
Schenectady,Schenectady,NY,"809 Altamont Avenue, Schenectady, NY 12303",809 Altamont Avenue
Glenville,Schenectady,NY,"289 Swaggertown Road, Glenville, NY 12302",289 Swaggertown Road
Hudson Falls,Washington,NY,"17 Pine Street, Hudson Falls, NY 12839",17 Pine Street
Troy,Rensselaer,NY,"95 Brunswick Road, Troy, NY 12180",95 Brunswick Road
Bethlehem,Albany,NY,"457/459 Kenwood Avenue, Bethlehem, NY 12054",457/459 Kenwood Avenue
Albany,Albany,NY,"54 Edgecomb Street, Albany, NY 12209",54 Edgecomb Street
Leeds,Greene,NY,"271 Rte 67, Leeds, NY 12451",271 Rte 67
Ticonderoga,Essex,NY,"133 Montcalm Street, Ticonderoga, NY 12883",133 Montcalm Street
Schenectady,Schenectady,NY,"1226 Wendell Avenue, 5, Schenectady, NY 12308","1226 Wendell Avenue, 5"
Coeymans,Albany,NY,"52 Cedar Grove Road, Coeymans, NY 12158",52 Cedar Grove Road
Milton,Saratoga,NY,"662 Acland Boulevard, Milton, NY 12020",662 Acland Boulevard
Clifton Park,Saratoga,NY,"4 Putnam Lane, Clifton Park, NY 12065",4 Putnam Lane
Warrensburg,Warren,NY,"5 Ridge Avenue, Warrensburg, NY 12885",5 Ridge Avenue
Glens Falls,Warren,NY,"17 Mac Arthur Drive, Glens Falls, NY 12801",17 Mac Arthur Drive
Amsterdam,Montgomery,NY,"40 3rd Street, Amsterdam, NY 12010",40 3rd Street
Schroon Lake,Essex,NY,"38 Brookfield Avenue, Schroon Lake, NY 12870",38 Brookfield Avenue
Schenectady,Schenectady,NY,"1624 Union Street, Schenectady, NY 12309",1624 Union Street
Queensbury,Warren,NY,"41 Stephanie Lane, Queensbury, NY 12804",41 Stephanie Lane
Rotterdam,Schenectady,NY,"172 Paddock Circle, Rotterdam, NY 12306",172 Paddock Circle
Brunswick,Rensselaer,NY,"158 S Lake Avenue, Brunswick, NY 12180",158 S Lake Avenue
Albany,Albany,NY,"3 Regent Street, Albany, NY 12202",3 Regent Street
Chatham,Columbia,NY,"1040 Albany Turnpike, Chatham, NY 12136",1040 Albany Turnpike
Malta,Saratoga,NY,"19 Nostalgia Lane, Malta, NY 12020",19 Nostalgia Lane
Schenectady,Schenectady,NY,"1155 Morningside Avenue, Schenectady, NY 12309",1155 Morningside Avenue
Schenectady,Schenectady,NY,"1235 Crane Street, Schenectady, NY 12303",1235 Crane Street
Schroon,Essex,NY,"523 Loch Muller Road, Schroon, NY 12870",523 Loch Muller Road
Schenectady,Schenectady,NY,"118 N College Street, Schenectady, NY 12305",118 N College Street
Nassau,Rensselaer,NY,"4 Locust Avenue, Nassau, NY 12123",4 Locust Avenue
Glenville,Schenectady,NY,"32 Spring Road, Glenville, NY 12302",32 Spring Road
Albany,Albany,NY,"37 Buell Street, Albany, NY 12206",37 Buell Street
East Greenbush,Rensselaer,NY,"5 Hillview Avenue, East Greenbush, NY 12144",5 Hillview Avenue
Guilderland,Albany,NY,"639 Salvia Lane, Guilderland, NY 12303",639 Salvia Lane
Coeymans,Albany,NY,"44 Coons Road, Coeymans, NY 12046",44 Coons Road
Worcester,Otsego,NY,"948 Co Hwy 38 Street, Worcester, NY 12197",948 Co Hwy 38 Street
Kingsbury,Washington,NY,"734 County Route 41, Kingsbury, NY 12839",734 County Route 41
Rensselaerville,Albany,NY,"3084 NY-145, Rensselaerville, NY 12469",3084 NY-145
Albany,Albany,NY,"529 1st Street, Albany, NY 12206",529 1st Street
Jefferson,Schoharie,NY,"0 Sunrise Sunset Drive, Jefferson, NY 12093",0 Sunrise Sunset Drive
East Greenbush,Rensselaer,NY,"15 Start Avenue, East Greenbush, NY 12144",15 Start Avenue
Cohoes,Albany,NY,"34 4th Street, Cohoes, NY 12047",34 4th Street
Guilderland,Albany,NY,"12 Norman Avenue, Guilderland, NY 12203",12 Norman Avenue
Gloversville,Fulton,NY,"233 E Fulton Street, Gloversville, NY 12078",233 E Fulton Street
Gloversville,Fulton,NY,"6 William Street, Gloversville, NY 12078",6 William Street
White Creek,Washington,NY,"75 NY-67, White Creek, NY 12057",75 NY-67
East Greenbush,Rensselaer,NY,"50 New York Avenue, East Greenbush, NY 12144",50 New York Avenue
Halfmoon,Saratoga,NY,"15 Canal Road, Halfmoon, NY 12065",15 Canal Road
Granville,Washington,NY,"11 Williams Street, Granville, NY 12832",11 Williams Street
Saratoga Springs,Saratoga,NY,"3 Clubhouse Drive, Saratoga Springs, NY 12866",3 Clubhouse Drive
Niskayuna,Schenectady,NY,"2267 Algonquin Road, Niskayuna, NY 12309",2267 Algonquin Road
Johnstown,Fulton,NY,"338 N Comrie Avenue, Johnstown, NY 12095",338 N Comrie Avenue
Hague,Warren,NY,"13 Bayberry Lane, Hague, NY 12836",13 Bayberry Lane
Jewett,Greene,NY,"124 Deer Valley Road, Jewett, NY 12444",124 Deer Valley Road
Albany,Albany,NY,"153 4th Avenue, basement, Albany, NY 12202","153 4th Avenue, basement"
Fort Edward,Washington,NY,"161 Broadway, Fort Edward, NY 12828",161 Broadway
Bethlehem,Albany,NY,"17 Mullens Road, Bethlehem, NY 12159",17 Mullens Road
"Saratoga Springs, Inside",Saratoga,NY,"3 Roberts Lane, Saratoga Springs, Inside, NY 12866",3 Roberts Lane
Brunswick,Rensselaer,NY,"6 Diana Place, Brunswick, NY 12180",6 Diana Place
Queensbury,Warren,NY,"11 Heritage Point, Queensbury, NY 12804",11 Heritage Point
Saratoga Springs,Saratoga,NY,"18 Conver Drive, Saratoga Springs, NY 12866",18 Conver Drive
Wilton,Saratoga,NY,"10 Overlook Drive, Wilton, NY 12831",10 Overlook Drive
Queensbury,Warren,NY,"L17.3 Glen Lake Road, Queensbury, NY 12845",L17.3 Glen Lake Road
Saratoga Springs,Saratoga,NY,"68 Excelsior Avenue, 101,102,103, Saratoga Springs, NY 12866","68 Excelsior Avenue, 101,102,103"
Jefferson,Schoharie,NY,"1114 North Road, Jefferson, NY 12093",1114 North Road
Clifton Park,Saratoga,NY,"26 Jamison Drive, Clifton Park, NY 12065",26 Jamison Drive
Esperance,Schoharie,NY,"125 Mc Duffee Road, Esperance, NY 12066",125 Mc Duffee Road
Sand Lake,Rensselaer,NY,"333 Shaver Road, Sand Lake, NY 12196",333 Shaver Road
Guilderland,Albany,NY,"608 Kelly Circle, Guilderland, NY 12009",608 Kelly Circle
Clifton Park,Saratoga,NY,"17 Weston Drive, Clifton Park, NY 12065",17 Weston Drive
Schodack,Rensselaer,NY,"3119 State Route 150, Schodack, NY 12063",3119 State Route 150
Charlton,Saratoga,NY,"2284 Cook Road, Charlton, NY 12074",2284 Cook Road
Bethlehem,Albany,NY,"1598 New Scotland Road, Bethlehem, NY 12159",1598 New Scotland Road
Troy,Rensselaer,NY,"741 Burden Avenue, Troy, NY 12180",741 Burden Avenue
Perth,Fulton,NY,"370 Sacandaga Road, Perth, NY 12070",370 Sacandaga Road
Granville,Washington,NY,"67 River Valley Drive, Granville, NY 12832",67 River Valley Drive
Albany,Albany,NY,"94 Hackett Boulevard, 1, Albany, NY 12209","94 Hackett Boulevard, 1"
Granville,Washington,NY,"82 Mettowee Street, Granville, NY 12832",82 Mettowee Street
Queensbury,Warren,NY,"14 Heinrick Street, Queensbury, NY 12804",14 Heinrick Street
East Greenbush,Rensselaer,NY,"578 Columbia Turnpike, 203, East Greenbush, NY 12061","578 Columbia Turnpike, 203"
Schenectady,Schenectady,NY,"2406 Campbell Avenue, Schenectady, NY 12306",2406 Campbell Avenue
Albany,Albany,NY,"331 1st St, Albany, NY 12206",331 1st St
Colonie,Albany,NY,"2 Priddle Lane, Colonie, NY 12110",2 Priddle Lane
Rotterdam,Schenectady,NY,"69 Whispering Pines Way, Rotterdam, NY 12306",69 Whispering Pines Way
Cambridge,Washington,NY,"341 Duell Hollow Rd, Cambridge, NY 12028",341 Duell Hollow Rd
Mayfield,Fulton,NY,"2984 State Highway 30, Mayfield, NY 12078",2984 State Highway 30
Scotia,Schenectady,NY,"30 Red Oak Drive, Scotia, NY 12302",30 Red Oak Drive
Black Brook,Clinton,NY,"L4 Silver Lake Road, Black Brook, NY 12912",L4 Silver Lake Road
Wilton,Saratoga,NY,"58 Daintree Drive, Wilton, NY 12866",58 Daintree Drive
Guilderland,Albany,NY,"105 Birchwood Drive, Guilderland, NY 12303",105 Birchwood Drive
Troy,Rensselaer,NY,"6 Hawthorne Avenue, Troy, NY 12180",6 Hawthorne Avenue
Guilderland,Albany,NY,"618 Maywood Avenue, Guilderland, NY 12303",618 Maywood Avenue
Hague,Warren,NY,"340 W Hague Road, Hague, NY 12836",340 W Hague Road
Queensbury,Warren,NY,"63 Zenas Drive, Queensbury, NY 12804",63 Zenas Drive
Saratoga Springs,Saratoga,NY,"15 Jaipur Lane, Saratoga Springs, NY 12866",15 Jaipur Lane
Parishville,Saint Lawrence,NY,"127 Benson Road, Parishville, NY 13672",127 Benson Road
Hague,Warren,NY,"24 Tannery Lane, Hague, NY 12836",24 Tannery Lane
Ballston,Saratoga,NY,"22 Silver Lane, Ballston, NY 12027",22 Silver Lane
Albany,Albany,NY,"36 Davis Avenue, Albany, NY 12203",36 Davis Avenue
Kinderhook,Columbia,NY,"17 Beach Avenue, Kinderhook, NY 12130",17 Beach Avenue
Fort Plain,Montgomery,NY,"19 Washington Street, Fort Plain, NY 13339",19 Washington Street
Cohoes,Albany,NY,"58 Congress Street, Cohoes, NY 12047",58 Congress Street
Rensselaerville,Albany,NY,"844 County Route 353, Rensselaerville, NY 12147",844 County Route 353
Glenville,Schenectady,NY,"13 Willowbrook Road, Glenville, NY 12302",13 Willowbrook Road
Bolton,Warren,NY,"L3 Wrights Farm Road, Bolton, NY 12814",L3 Wrights Farm Road
Schroon Lake,Essex,NY,"491 Charley Hill Road, Schroon Lake, NY 12870",491 Charley Hill Road
Clifton Park,Saratoga,NY,"808 Plank Road, Clifton Park, NY 12065",808 Plank Road
Guilderland,Albany,NY,"5961 Depot Road, Guilderland, NY 12009",5961 Depot Road
Ballston,Saratoga,NY,"11 Knottingley Place, Ballston, NY 12019",11 Knottingley Place
Niskayuna,Schenectady,NY,"146 Killarney Drive, Niskayuna, NY 12309",146 Killarney Drive
Northumberland,Saratoga,NY,"260 Colebrook Road, Northumberland, NY 12831",260 Colebrook Road
Rotterdam,Schenectady,NY,"1014 Circle Drive, Rotterdam, NY 12303",1014 Circle Drive
Saratoga,Saratoga,NY,"108 Oak Tree Drive, Saratoga, NY 12871",108 Oak Tree Drive
Troy,Rensselaer,NY,"34 Francis Street, Troy, NY 12180",34 Francis Street
Schaghticoke,Rensselaer,NY,"1171 NY-40, Schaghticoke, NY 12154",1171 NY-40
Malta,Saratoga,NY,"269 Thimbleberry Road, Malta, NY 12020",269 Thimbleberry Road
Colonie,Albany,NY,"3983 Albany Street, Colonie, NY 12304",3983 Albany Street
Cohoes,Albany,NY,"100 Lancaster Street, Cohoes, NY 12047",100 Lancaster Street
Cherry Valley Village,Otsego,NY,"13 Maple Avenue, Cherry Valley Village, NY 13320",13 Maple Avenue
Malta,Saratoga,NY,"10 Wiggins Drive, Malta, NY 12020",10 Wiggins Drive
Albany,Albany,NY,"50 Woodlawn Avenue, 5, Albany, NY 12208","50 Woodlawn Avenue, 5"
Waterford,Saratoga,NY,"41 Saratoga Avenue, 1st floor, Waterford, NY 12188","41 Saratoga Avenue, 1st floor"
Amsterdam,Montgomery,NY,"267 Cleveland Avenue, Amsterdam, NY 12010",267 Cleveland Avenue
Troy,Rensselaer,NY,"9 Hills Landing, Troy, NY 12180",9 Hills Landing
Rensselaer,Rensselaer,NY,"40 Patroon Pointe Drive, Rensselaer, NY 12144",40 Patroon Pointe Drive
North Greenbush,Rensselaer,NY,"264 N Greenbush Road, North Greenbush, NY 12180",264 N Greenbush Road
Mechanicville,Saratoga,NY,"4 Bennington Avenue, Mechanicville, NY 12118",4 Bennington Avenue
Colonie,Albany,NY,"28 Donna Drive, Colonie, NY 12205",28 Donna Drive
Charlton,Saratoga,NY,"6 Hillandale Drive, Charlton, NY 12019",6 Hillandale Drive
Saratoga Springs,Saratoga,NY,"3 Waterbury Street, #1, Saratoga Springs, NY 12866","3 Waterbury Street, #1"
Charlton,Saratoga,NY,"5 Hillandale Drive, Charlton, NY 12019",5 Hillandale Drive
Wilton,Saratoga,NY,"L9 ROUTE 9, Wilton, NY 12866",L9 ROUTE 9
Rensselaer,Rensselaer,NY,"22 Pershing Avenue, Rensselaer, NY 12144",22 Pershing Avenue
Troy,Rensselaer,NY,"19 Glen Avenue, Troy, NY 12180",19 Glen Avenue
Greenfield,Saratoga,NY,"398 Wilton Road, Greenfield, NY 12833",398 Wilton Road
Watervliet,Albany,NY,"533 Broadway, Watervliet, NY 12189",533 Broadway
Gloversville,Fulton,NY,"104 Lincoln Street, Gloversville, NY 12078",104 Lincoln Street
Hoosick Falls,Rensselaer,NY,"61 High Street, Hoosick Falls, NY 12090",61 High Street
Saratoga Springs,Saratoga,NY,"60 Weibel Avenue, 3BW204, Saratoga Springs, NY 12866","60 Weibel Avenue, 3BW204"
East Greenbush,Rensselaer,NY,"35 New Road, East Greenbush, NY 12061",35 New Road
Wright,Schoharie,NY,"L4.11 Westfall Road, Wright, NY 12053",L4.11 Westfall Road
Wilton,Saratoga,NY,"93 Damascus Drive, Wilton, NY 12831",93 Damascus Drive
Wilton,Saratoga,NY,"298 Wilton Gansevoort Road, 1, Wilton, NY 12831","298 Wilton Gansevoort Road, 1"
Schenectady,Schenectady,NY,"112 Porter Street, Schenectady, NY 12308",112 Porter Street
Ancram,Columbia,NY,"646 New Forge Road, Ancram, NY 12502",646 New Forge Road
Coxsackie,Greene,NY,"77 Old Route 81, Coxsackie, NY 12042",77 Old Route 81
Halfmoon,Saratoga,NY,"64 Dunsbach Road, A, Halfmoon, NY 12065","64 Dunsbach Road, A"
Greenfield,Saratoga,NY,"81 Plank Road, Greenfield, NY 12859",81 Plank Road
Rotterdam,Schenectady,NY,"1290 4th Street, Rotterdam, NY 12303",1290 4th Street
Albany,Albany,NY,"120 Philip Street, FL 1, Albany, NY 12202","120 Philip Street, FL 1"
Glenville,Schenectady,NY,"53 Harmon Road, Glenville, NY 12302",53 Harmon Road
Chester,Warren,NY,"8209 State Route 9, Chester, NY 12860",8209 State Route 9
Schenectady,Schenectady,NY,"13 Yale Street, Schenectady, NY 12304",13 Yale Street
Glenville,Schenectady,NY,"900 Riverside Avenue, Glenville, NY 12302",900 Riverside Avenue
Troy,Rensselaer,NY,"78 13th Street, Troy, NY 12180",78 13th Street
Cambridge,Washington,NY,"193 Horton Road, Cambridge, NY 12816",193 Horton Road
Hudson Falls,Washington,NY,"13 4th Street, Hudson Falls, NY 12839",13 4th Street
Colonie,Albany,NY,"6 Tipton Drive, Colonie, NY 12211",6 Tipton Drive
Albany,Albany,NY,"201 Jay Street, Albany, NY 12210",201 Jay Street
Moreau,Saratoga,NY,"6 Pine Road, Moreau, NY 12803",6 Pine Road
Troy,Rensselaer,NY,"43 Donegal Avenue, Troy, NY 12180",43 Donegal Avenue
Bethlehem,Albany,NY,"44 Hudson Avenue, Bethlehem, NY 12054",44 Hudson Avenue
